ticker,R,date,year,kind,base_start,base_len,pos,rsi,wk_since_low,delisted,regime_spy_up,mad_med,pre_vol,contr8,vol_dry8,rsi_slope26,next_break,wk_to_break,ret13,exc13_SPY,mae13,ret26,exc26_SPY,mae26,ret52,exc52_SPY,mae52,trunc52,wk_to_comp,ret_to_comp,comp_before,divup_before,e1_before,id,dup_of
ZIOP,2.0,2010-08-13,2010,ANTI,2010-01-08,32,0.16,43.4,29,True,False,0.1733,0.1656,0.38,0.92,-1.53,NONE,,21.0,9.5,0.0,63.9,39.7,0.0,42.9,31.7,0.0,False,,,,,False,42314a16ff,a61d194e09
SMWB,2.0,2025-10-24,2025,CTRL,2025-02-14,37,0.5,49.1,27,False,True,0.0981,0.076,0.5,0.77,0.69,DOWN,12.0,-34.5,-36.6,-34.5,-70.6,-76.6,-73.6,,,,,,,True,False,False,08782454a1,a0f866942b
FMS,1.5,2024-03-22,2024,CTRL,2023-08-18,32,0.31,42.9,21,False,True,0.0433,0.0421,0.3,0.98,0.44,NONE,,6.5,1.7,-1.9,11.2,1.5,-1.9,33.2,23.6,-1.9,False,10.0,16.8,False,False,False,e3c682109f,15db4895b6
HTH,1.5,2014-10-03,2014,E1,2013-09-20,55,0.47,49.8,48,False,True,0.0664,0.0357,0.2,0.69,-0.22,NONE,,-6.0,-11.2,-6.9,-7.3,-13.4,-14.2,-6.9,-8.1,-14.2,False,35.0,9.5,True,False,False,40e2f47718,8f34145894
CROX,2.0,2017-08-25,2017,CTRL,2016-07-22,58,0.53,66.7,16,False,True,0.0958,0.0654,0.51,1.15,1.28,UP,16.0,23.8,16.8,0.0,54.1,40.6,0.0,129.4,109.6,0.0,False,5.0,8.9,False,False,True,533611e7ff,baa5fdae80
DCMYY,2.0,2010-03-05,2010,DIVUP,2009-01-02,62,0.34,51.1,50,True,True,0.0399,,0.21,0.93,0.59,NONE,,-2.7,3.4,-2.7,12.0,14.1,-3.1,27.7,9.5,-3.1,False,25.0,12.6,False,False,False,5f85453b00,77d05941e2
BGS,1.5,2011-10-28,2011,CTRL,2011-03-04,35,0.73,63.3,5,False,True,0.0363,0.0307,0.91,0.84,-1.22,UP,1.0,16.4,13.2,0.0,17.9,7.6,0.0,59.3,47.0,0.0,False,5.0,16.6,False,False,False,5eb58ca9b2,09899a97c5
TRGP,2.0,2020-12-04,2020,CTRL,2020-05-08,31,1.0,67.7,30,False,True,0.0895,0.1268,1.5,1.03,0.47,UP,1.0,30.7,26.6,-0.5,75.6,60.4,-0.5,95.3,71.0,-0.5,False,,,False,False,False,bb8c2b8abc,e90660d7fb
SBAC,1.5,2024-10-11,2024,CTRL,2023-02-17,87,0.54,58.5,20,False,True,0.0686,0.0478,0.18,0.95,1.28,NONE,,-17.1,-17.6,-17.1,-5.2,2.1,-17.1,-17.4,-31.5,-17.4,False,1.0,6.0,False,True,False,f6e071697e,befbd1a2e8
PPP,3.0,2015-05-15,2015,DIVUP,2012-07-20,148,0.23,54.4,147,True,True,0.1807,0.0815,0.1,1.31,0.41,DOWN,10.0,-32.8,-31.8,-38.7,-48.0,-44.3,-52.0,-56.1,-54.5,-65.6,False,,,True,False,False,6bb12e114a,7ef2706275
LNTH,1.5,2024-05-10,2024,COMP,2023-08-04,41,1.0,63.2,15,False,True,0.0619,0.0673,0.61,0.81,0.38,UP,1.0,28.0,25.4,0.0,15.1,-0.5,0.0,7.5,-2.2,0.0,False,,,,,False,f151eea734,8c81f7d99d
DXPE,2.0,2022-05-20,2022,DIVUP,2020-11-13,80,0.5,52.1,79,False,False,0.0896,0.1172,0.53,0.84,0.17,NONE,,1.3,-7.5,-0.2,-5.2,-7.7,-16.1,12.4,3.2,-16.1,False,2.0,8.6,False,False,False,33cd292954,8a46fe16b7
TIGO,1.5,2023-10-13,2023,CTRL,2023-01-06,41,0.26,41.9,40,False,True,0.0744,0.0716,0.12,0.66,-0.53,UP,24.0,23.6,12.7,-1.4,32.0,12.8,-1.4,76.3,40.1,-1.4,False,10.0,18.3,False,False,False,ec0a8e8665,af9e81e9da
HALO,1.5,2024-04-19,2024,DIVUP,2023-03-03,60,0.5,50.1,50,False,True,0.0766,0.0565,0.16,1.0,0.48,UP,7.0,39.9,28.6,-0.2,36.2,17.3,-0.2,52.1,44.5,-0.2,False,3.0,11.7,True,False,False,aa13fac577,53849ee418
VNET,3.0,2016-03-04,2016,DIVUP,2013-06-07,144,0.44,54.6,143,False,False,0.0982,0.0586,0.27,1.38,-0.11,DOWN,17.0,-32.2,-37.7,-32.4,-53.7,-63.7,-56.1,-64.9,-86.4,-66.1,False,,,True,False,False,b2edc77926,c85d670036
BBL,1.5,2013-06-28,2013,CTRL,2011-08-05,100,0.0,30.1,0,True,True,0.0539,0.0426,0.4,0.85,-0.59,DOWN,1.0,18.9,13.1,-1.9,22.7,6.9,-1.9,32.6,8.1,-1.9,False,34.0,30.0,False,False,False,4e25c04250,e8a23d396f
MOMO,2.0,2017-11-10,2017,CTRL,2017-01-27,42,0.26,36.5,41,False,True,0.0995,0.1281,0.48,0.86,-1.46,DOWN,3.0,-2.5,-4.3,-20.4,33.1,26.4,-20.4,15.2,5.6,-20.4,False,18.0,31.2,True,False,False,64ad221b74,23fba82c37
LTBR,3.0,2022-07-29,2022,E1,2021-10-08,43,0.26,55.0,4,False,False,0.1747,0.1279,0.31,0.48,-0.53,DOWN,8.0,-26.7,-21.5,-38.5,-39.7,-39.1,-45.0,-12.6,-25.3,-52.9,False,,,False,False,False,933194bdad,ea08b9e047
WGO,1.5,2023-02-03,2023,COMP,2022-06-24,33,1.0,62.6,31,False,True,0.054,0.0624,1.31,1.02,0.03,UP,23.0,-13.1,-13.5,-19.9,-0.7,-9.9,-19.9,0.5,-21.2,-19.9,False,,,,,False,24fba22270,baabb56828
