ticker,R,start,end,break_date,year,base_len,dir,confirmed,delisted,break_close,base_hi,base_lo,range_ratio,drift,pos_in_band,rsi_end,vol_contraction,prior_dd,above_ma200,phaseB_weeks,break_bar_pct,mad_med,cv,mid_share,pre_vol,spring,b_idx,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,pos_L8,ma_L8,slope_L8,rsi_L8,hl_L8,wk_since_low_L8,pos_L13,ma_L13,slope_L13,rsi_L13,hl_L13,wk_since_low_L13,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52,gallery_set,asof,close,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,state_now,rsi_h1_now,rsi_h2_now,px_h2_over_h1_now,wk_h1_h2_now,wk_since_h2_now,rsi_slope26,px_slope26,mx_date,e1_date,e1_wk_ago,e2_date,e2_kind,e2_wk_ago,support_failed_wk,macd_pct,macd_hist_pct,macd_bull,eo_pct,eo_rising,macd_cross_wk_ago,date,base_start,pos,rsi,wk_since_low,regime_spy_up,e1_before,wk_since_e1,next_break,wk_to_break,kind,wk_to_comp,ret_to_comp,comp_before,divup_before,macd_pct_cross,became_e1,wk_to_e1,e1_cross_wk_ago,e1_trough_wk_ago,pos_cross,eo_pct_trough,wk_to_e2,wk_to_e2a,wk_to_e2b,ret_to_e2,support_failed,ret26_inv_struct,exit_wk_struct,ret26_inv_stop,exit_wk_stop,blend_h_wk,blend_ret,blend_mae,e1only_ret_h,e1only_mae_h,e2_ret26,e2_mae26,blend_exc,rsi_h1,rsi_h2,px_h2_over_h1,wk_h1_h2,wk_since_h2,wk_to_anti,ret_to_anti,ret_since_e1,e2a_wk,e2b_wk
TM,1.5,2013-01-25,2015-03-13,2015-03-20,2015.0,112,UP,True,False,101.0,96.63,64.48,1.5,0.38,0.98,68.3,0.58,-0.01,True,112.0,5.1,0.0517,0.0811,0.732,0.03,False,324.0,0.0213,0.0225,0.41,0.86,1.72,0.04,0.99,True,0.073,63.1,1.0,103.0,0.88,True,0.022,59.8,1.0,98.0,-5.0,False,-5.7,-4.9,-6.5,-5.0,-15.8,False,-9.6,-2.6,-13.3,-17.4,-23.4,False,-22.6,-20.5,-23.4,-24.4,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM,1.5,2017-10-20,2019-12-13,2019-12-20,2019.0,113,UP,True,False,114.68,114.32,76.31,1.5,0.4,1.0,75.5,0.74,-0.01,True,52.0,0.3,0.043,0.0813,0.646,0.0286,False,572.0,0.0152,0.0567,0.35,0.95,1.5,0.02,1.0,True,0.029,62.7,3.0,43.0,1.0,True,0.035,63.4,2.0,38.0,-38.8,False,-10.5,-10.2,-19.6,-38.8,-27.5,False,-24.8,-34.2,-43.4,-38.8,-10.1,False,-27.3,-63.7,-57.6,-38.8,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAC,1.5,2012-10-19,2014-05-16,2014-05-23,2014.0,83,UP,True,False,37.86,36.84,24.65,1.49,0.15,1.0,74.3,0.86,0.04,True,48.0,2.8,0.0504,0.0833,0.735,0.0343,False,281.0,0.02,0.0542,0.4,1.25,1.47,0.02,0.59,True,0.02,57.2,2.0,39.0,0.5,True,0.023,52.7,2.0,34.0,14.6,False,9.4,2.1,4.1,-0.5,13.4,False,3.8,-4.7,-2.7,-0.5,19.7,False,5.7,-8.7,-4.5,-1.8,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIP,1.5,2021-05-28,2022-01-14,2022-01-21,2022.0,34,DOWN,True,False,20.04,31.23,21.01,1.49,0.33,0.27,55.0,0.7,,,9.0,-15.7,0.0652,0.0979,0.735,,False,34.0,0.0411,0.0726,0.63,0.96,,0.0,1.0,True,0.134,79.9,0.0,25.0,0.77,,,77.1,0.0,20.0,14.1,False,16.5,27.7,21.5,19.7,-15.3,False,-6.1,1.3,-1.4,19.7,-8.3,False,-0.2,7.1,10.7,19.7,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR,1.5,2018-05-11,2019-12-13,2019-12-20,2019.0,84,UP,True,False,27.68,25.12,17.71,1.42,0.21,1.0,76.0,2.51,-0.09,True,84.0,10.2,0.0484,0.0686,0.631,0.0388,False,572.0,0.0373,0.0515,0.77,1.01,1.25,0.04,0.27,False,-0.034,43.9,0.0,75.0,0.58,False,-0.046,52.9,0.0,70.0,-45.2,False,-17.0,-16.7,-26.0,-45.2,-13.4,False,-10.6,-20.1,-29.3,-45.2,103.5,False,86.2,49.9,55.9,-45.2,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSYS,1.5,2010-01-22,2010-10-29,2010-11-05,2010.0,41,UP,True,False,31.65,31.32,21.09,1.49,0.04,1.0,68.6,0.57,0.13,,12.0,1.1,0.0603,0.0885,0.683,0.0743,False,96.0,0.032,0.1075,0.53,0.93,0.81,0.0,0.42,False,-0.052,53.5,0.0,3.0,0.01,False,-0.08,48.2,0.0,2.0,8.2,False,0.7,-7.6,1.0,0.0,31.5,False,21.1,12.3,22.2,0.0,-6.5,False,-10.8,-25.8,-15.0,-41.4,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBD,1.5,2025-10-24,,,,49,,,,,30.8,21.15,1.46,0.27,,,,0.08,True,,,0.0313,0.0696,0.694,0.1005,False,,0.0133,0.0349,0.42,0.86,0.31,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,30.8,1.0,True,0.024,70.6,0.0,48.0,COMP,,,,,,0.01,0.2,,,,,,,,2.64,0.59,True,4.33,True,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNH,1.5,2026-01-09,,,,38,,,,,14.4,9.85,1.46,0.27,,,,-0.27,True,,,0.0354,0.1006,0.263,0.0426,False,,0.075,0.0637,2.12,1.34,0.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,13.48,0.8,True,0.114,62.4,1.0,27.0,COMP,68.2,54.0,0.886,7.0,24.0,0.6,0.8,,,,,,,,5.12,2.53,True,15.48,True,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIM,1.5,2026-02-13,,,,33,,,,,30.46,21.48,1.42,0.28,,,,-0.01,True,,,0.0377,0.071,0.758,0.0795,False,,0.0375,0.0776,0.99,1.28,0.47,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,30.46,1.0,True,0.057,68.8,0.0,32.0,COMP,77.6,69.9,0.954,8.0,23.0,-0.06,0.44,,,,,,,,5.43,1.0,True,10.45,True,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUS,1.5,2025-08-22,,,,58,,,,,5.21,3.59,1.45,0.38,,,,-0.21,True,,,0.0385,0.0751,0.81,0.0513,False,,0.0188,0.0493,0.49,2.78,0.75,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,5.0,0.87,True,0.102,57.8,1.0,57.0,COMP,59.7,63.5,1.07,7.0,5.0,0.36,0.65,,,,,,,,3.85,0.75,True,11.11,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
