ticker,theme,group,hold_terminal,hold_maxdd,X1_STRUCT_ratio,X1_STRUCT_maxdd,X1_STRUCT_trades,X1_STRUCT_pctin,X2_MA52_ratio,X2_MA52_maxdd,X2_MA52_trades,X2_MA52_pctin,X3_CROSSDN_ratio,X3_CROSSDN_maxdd,X3_CROSSDN_trades,X3_CROSSDN_pctin,X4_TRAIL25_ratio,X4_TRAIL25_maxdd,X4_TRAIL25_trades,X4_TRAIL25_pctin,X5_COMBO_ratio,X5_COMBO_maxdd,X5_COMBO_trades,X5_COMBO_pctin
STRL,grid,stock,48.932,-54.3,0.286,-61.8,5,76.5,0.387,-32.6,7,65.4,0.149,-65.8,6,76.5,0.425,-35.1,5,79.4,0.393,-61.8,4,85.8
IESC,grid,stock,36.166,-52.5,0.416,-48.2,6,45.0,0.541,-42.4,7,56.6,0.62,-48.2,7,76.2,0.339,-40.8,4,74.6,0.806,-48.2,6,80.2
MYRG,grid,stock,11.215,-50.4,0.262,-50.3,7,43.8,0.426,-34.5,8,44.7,0.411,-59.0,8,68.3,0.173,-64.0,7,63.1,0.532,-59.4,5,84.9
POWL,grid,stock,24.442,-59.5,0.06,-67.6,6,51.6,0.446,-48.7,7,58.5,0.188,-73.9,6,72.3,0.129,-59.8,6,45.8,0.624,-67.6,4,89.0
FSLR,grid,stock,4.377,-54.5,0.313,-32.8,6,31.4,0.207,-43.0,8,49.9,0.164,-55.5,7,62.5,0.219,-45.4,7,53.7,0.281,-47.7,6,69.2
NXT,grid,stock,2.481,-34.1,1.0,-34.1,1,100.0,0.378,-11.9,1,5.6,1.0,-34.1,1,100.0,1.037,-31.6,1,95.8,1.0,-34.1,1,100.0
FLNC,grid,stock,0.758,-87.2,1.084,-60.4,3,52.1,1.002,-56.8,3,39.5,0.706,-70.2,3,54.7,0.732,-54.7,3,14.7,1.015,-60.4,3,53.7
EOSE,grid,stock,1.607,-84.9,0.615,-46.2,3,6.4,1.055,-68.8,3,53.5,0.988,-75.8,2,70.3,0.521,-37.3,3,12.8,1.429,-73.4,3,59.9
BE,grid,stock,23.442,-79.7,0.434,-77.2,7,56.3,0.014,-87.3,9,26.2,0.225,-86.6,8,57.2,0.012,-81.6,7,22.9,0.342,-82.0,6,61.4
ALB,grid,stock,1.409,-83.2,2.437,-47.6,3,56.3,1.696,-46.4,7,38.7,1.311,-49.0,5,62.3,2.635,-44.0,5,43.4,2.437,-47.6,3,56.3
DE,robotics,stock,4.112,-37.1,0.776,-37.1,5,68.2,0.368,-39.0,9,51.3,0.317,-49.8,8,74.4,0.648,-41.0,3,93.8,0.715,-37.1,3,89.2
HON,robotics,stock,1.703,-38.3,0.662,-32.4,6,50.9,0.596,-31.0,7,45.4,0.496,-41.3,6,72.6,0.583,-41.3,3,94.3,0.745,-38.3,3,88.5
EMR,robotics,stock,2.294,-42.9,0.385,-16.5,6,2.7,0.388,-30.6,6,36.3,0.337,-51.8,6,69.0,0.363,-40.7,4,86.7,0.651,-48.8,5,72.7
ROK,robotics,stock,2.836,-45.0,0.665,-39.4,6,65.3,0.541,-28.6,7,56.3,0.534,-39.5,7,68.2,0.389,-45.3,4,83.7,0.526,-41.7,6,71.3
TER,robotics,stock,8.35,-57.7,0.546,-36.2,6,47.8,0.42,-49.2,7,46.5,0.541,-58.6,6,81.9,0.352,-61.2,6,71.7,0.805,-51.1,5,78.7
CGNX,robotics,stock,1.475,-74.1,0.599,-43.6,6,39.8,0.557,-39.0,8,30.6,1.015,-44.9,6,58.2,0.38,-54.7,6,47.0,0.947,-54.0,5,63.7
ZBRA,robotics,stock,1.011,-67.0,0.794,-65.6,4,63.4,2.034,-26.9,4,42.6,1.243,-59.0,4,60.9,0.973,-57.7,4,57.4,0.794,-65.6,4,63.4
AMBA,robotics,stock,1.048,-80.3,1.141,-51.5,10,43.9,0.885,-60.5,10,31.8,0.608,-84.5,10,61.5,0.543,-60.5,8,37.2,0.514,-83.4,8,66.8
OUST,robotics,stock,4.0,-62.3,0.36,-62.3,4,74.9,0.215,-64.1,7,41.1,0.13,-69.0,4,84.0,0.263,-46.7,7,32.0,0.303,-62.3,4,78.9
NOVT,robotics,stock,1.478,-46.0,1.092,-49.5,4,80.8,0.772,-38.8,5,42.1,1.198,-33.7,4,68.9,1.017,-41.7,4,69.5,1.092,-49.5,4,80.8
SYM,robotics,stock,4.179,-69.2,0.326,-68.3,5,35.6,0.53,-57.0,5,58.0,0.59,-52.7,4,66.2,0.476,-49.8,5,27.9,0.574,-68.3,3,75.3
SERV,robotics,stock,0.508,-65.8,1.406,-41.9,2,44.0,1.863,-28.3,3,18.0,1.187,-46.4,2,66.0,2.529,-29.7,2,48.0,1.406,-41.9,2,44.0
RR,robotics,stock,1.26,-74.1,1.65,-67.6,1,87.8,1.631,-61.9,1,74.4,1.25,-67.6,1,80.5,1.25,-51.1,3,22.0,1.65,-67.6,1,87.8
LMT,defense,stock,1.809,-33.3,0.877,-33.9,7,67.3,0.396,-40.4,10,33.9,0.626,-33.7,8,68.1,0.575,-41.0,4,85.7,0.658,-33.9,7,75.4
RTX,defense,stock,2.652,-49.2,0.63,-15.7,5,28.0,0.774,-22.6,5,58.2,0.582,-57.1,4,86.2,0.787,-43.1,3,89.9,0.941,-49.2,2,91.5
NOC,defense,stock,1.928,-33.6,0.527,-33.6,5,39.8,0.579,-35.7,5,41.7,0.604,-42.5,5,71.0,0.826,-27.3,2,81.7,0.757,-33.6,4,72.8
GD,defense,stock,2.704,-40.2,0.802,-21.4,5,51.3,0.832,-14.3,7,54.6,0.996,-26.7,4,85.2,1.225,-26.7,2,99.7,1.11,-21.4,4,74.2
LHX,defense,stock,2.027,-36.2,0.715,-32.7,5,64.3,0.542,-41.2,7,44.9,0.662,-36.3,6,74.8,0.826,-35.9,3,82.4,0.77,-32.7,5,81.6
BA,defense,stock,0.524,-77.9,0.585,-77.3,7,44.4,1.059,-47.3,8,24.8,1.287,-58.5,8,50.6,1.654,-47.5,4,59.4,0.464,-78.5,6,46.8
GE,defense,stock,6.972,-57.2,0.648,-57.2,3,65.3,0.403,-29.9,5,51.4,0.53,-53.7,4,74.3,0.745,-38.5,3,79.5,0.683,-57.2,3,84.2
HWM,defense,stock,11.895,-60.4,0.126,-44.5,4,28.6,0.101,-26.1,5,25.7,0.745,-60.4,4,82.2,1.127,-38.7,3,83.6,0.768,-61.0,3,93.5
TDG,defense,stock,2.97,-24.2,1.092,-16.6,3,63.0,0.693,-12.2,3,40.3,0.786,-22.0,3,82.0,1.0,-24.2,1,100.0,0.939,-24.2,3,80.7
HEI,defense,stock,3.023,-25.3,0.665,-20.8,4,55.5,0.309,-27.1,5,25.1,0.581,-26.3,5,90.3,0.752,-27.1,2,96.3,0.774,-24.9,2,95.3
CW,defense,stock,7.876,-47.5,0.142,-47.5,2,34.2,0.14,-33.8,4,24.5,0.816,-51.9,3,90.1,0.351,-47.1,3,75.9,0.17,-51.4,2,49.2
DRS,defense,stock,15.381,-52.9,0.101,-43.2,7,26.0,0.216,-50.2,7,64.7,0.249,-53.9,6,82.0,0.418,-56.2,5,83.2,0.357,-56.8,6,82.0
MRCY,defense,stock,1.814,-70.2,0.309,-53.9,5,15.7,0.977,-41.4,6,27.0,1.048,-68.8,4,76.5,0.649,-68.9,5,54.7,0.683,-59.0,5,40.2
TXT,defense,stock,1.941,-58.4,1.254,-21.8,4,61.4,1.018,-23.0,5,50.4,0.834,-58.4,4,77.2,0.735,-33.5,4,80.4,1.178,-21.8,4,63.0
AXON,defense,stock,19.256,-58.9,0.223,-50.8,3,47.8,0.275,-47.6,4,48.2,0.862,-56.1,3,81.8,0.39,-42.2,3,44.4,0.642,-55.2,2,91.7
