ticker,R,kind,date,year,base_start,base_len,close,pos,rsi,range_ratio,wk_since_low,delisted,mad_med,cv,mid_share,pre_vol,spring,regime_spy_up,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,next_break,wk_to_break,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52
ALNT,1.5,ANTI,2024-06-21,2024,2023-08-04,47,25.29,0.1,37.8,1.47,1,False,0.0659,0.0892,0.66,0.0672,False,True,0.0613,0.0835,0.93,1.66,0.98,0.0,DOWN,2.0,-20.4,False,-25.1,-10.2,-21.0,-24.4,-7.6,False,-16.9,0.8,-15.9,-30.4,33.0,False,22.5,34.3,22.6,-30.4
ALNT,2.0,ANTI,2015-07-17,2015,2015-01-23,26,14.32,0.05,43.0,1.93,1,False,0.1402,0.1903,0.462,0.0759,False,True,0.0838,0.1109,0.6,0.96,1.85,0.04,DOWN,1.0,-9.4,False,-5.5,-10.1,-4.8,-23.4,-11.7,False,-1.1,-0.9,-0.9,-23.4,2.7,False,-1.1,-11.4,3.2,-24.2
ALNT,2.0,COMP,2023-03-03,2023,2020-07-03,140,44.29,1.0,68.7,2.0,139,False,0.0996,0.1571,0.679,0.1047,True,True,0.0269,0.0576,0.27,1.75,0.95,0.04,NONE,,-21.2,False,-27.5,-40.5,-39.8,-23.7,-20.0,False,-32.4,-47.5,-46.3,-29.0,-35.0,False,-63.8,-116.1,-84.7,-42.1
ALNT,2.0,COMP,2025-06-06,2025,2024-04-05,62,31.81,0.95,65.7,1.85,31,False,0.099,0.1556,0.581,0.0509,False,True,0.0931,0.1152,0.94,1.21,1.94,0.03,UP,1.0,42.9,False,34.5,26.8,34.0,0.0,71.1,False,56.0,26.9,52.8,0.0,166.7,False,142.1,40.5,133.0,0.0
ALNY,1.5,ANTI,2009-11-06,2009,2009-01-09,44,16.15,0.05,29.9,1.48,35,False,0.0707,0.0997,0.455,,False,True,0.095,0.0397,1.34,0.79,,0.0,NONE,,3.2,False,3.1,-0.2,2.1,0.0,-0.9,False,-5.8,-13.2,-7.8,-0.9,-20.1,False,-36.9,-52.4,-47.0,-24.8
ALNY,1.5,ANTI,2011-06-10,2011,2010-10-29,33,9.0,0.0,37.4,1.46,0,False,0.0312,0.0912,0.364,0.0422,False,True,0.0312,0.0204,1.0,0.75,0.74,0.03,DOWN,2.0,-29.1,False,-20.4,-16.2,-26.7,-29.1,-21.2,False,-21.0,-28.2,-26.0,-29.1,26.1,False,19.6,15.4,10.0,-29.1
ALNY,1.5,COMP,2014-08-29,2014,2014-03-07,26,69.67,0.85,57.4,1.48,18,False,0.0932,0.1074,0.423,0.0859,False,True,0.0691,0.0808,0.74,0.72,1.08,0.0,UP,3.0,44.3,False,40.6,36.8,37.8,-6.2,45.7,False,39.7,34.2,36.4,-6.2,56.6,False,55.3,59.2,49.6,-6.2
ALNY,1.5,COMP,2016-09-16,2016,2016-01-15,36,75.67,0.89,56.0,1.49,18,False,0.0757,0.1025,0.667,0.0772,True,True,0.0342,0.0678,0.45,0.71,0.98,0.0,DOWN,3.0,-41.3,False,-47.4,-49.6,-43.6,-55.4,-27.0,False,-39.2,-46.6,-39.8,-55.4,0.7,False,-18.4,-37.2,-24.8,-55.4
ALNY,1.5,COMP,2018-03-16,2018,2017-09-22,26,145.06,1.0,65.6,1.27,25,False,0.0373,0.06,0.615,0.1137,False,True,0.0416,0.0273,1.12,0.81,0.33,0.0,DOWN,3.0,-25.7,False,-27.2,-24.7,-29.3,-36.3,-33.0,False,-39.6,-28.8,-41.0,-36.8,-37.0,False,-41.6,-34.1,-42.1,-56.4
ALNY,1.5,ANTI,2018-10-05,2018,2018-03-30,28,86.75,0.0,41.2,1.41,0,False,0.0424,0.0785,0.679,0.0944,True,True,0.0502,0.0759,1.18,1.06,0.45,0.0,DOWN,1.0,-13.3,False,-1.5,0.5,-0.3,-27.0,7.0,False,5.7,-5.2,4.0,-27.0,-11.2,False,-15.5,-31.1,-17.0,-27.0
ALNY,1.5,COMP,2019-03-29,2019,2018-09-21,28,93.45,0.96,55.0,1.49,14,False,0.0674,0.0895,0.714,0.1005,True,True,0.0428,0.022,0.64,0.92,0.67,0.04,NONE,,-22.4,False,-26.6,-26.0,-26.5,-27.7,-13.2,False,-18.8,-24.0,-17.8,-27.7,11.5,False,20.0,1.7,7.5,-27.7
ALNY,1.5,ANTI,2019-06-14,2019,2018-09-21,39,70.03,0.22,42.3,1.49,25,False,0.0784,0.1008,0.59,0.1005,True,True,0.0282,0.1082,0.36,1.04,0.78,0.03,UP,23.0,19.5,False,14.9,0.8,13.9,0.0,68.1,False,57.4,31.9,54.2,0.0,79.1,False,71.7,34.8,48.8,0.0
ALNY,1.5,COMP,2020-05-15,2020,2019-11-22,26,139.28,0.86,62.8,1.43,9,False,0.0588,0.094,0.654,0.0667,False,False,0.0747,0.1144,1.27,1.14,0.88,0.0,UP,5.0,-2.3,False,-20.4,-32.3,-24.4,-10.0,-2.7,False,-28.8,-52.2,-33.4,-12.1,-2.6,False,-50.4,-81.7,-49.7,-12.1
ALNY,1.5,ANTI,2020-10-30,2020,2020-04-10,30,122.97,0.14,43.5,1.39,29,False,0.0599,0.0799,0.667,0.0537,False,True,0.0573,0.0315,0.96,0.8,1.12,0.0,UP,11.0,22.4,False,8.6,-8.1,5.4,0.0,14.4,False,-14.4,-25.5,-11.5,0.0,29.8,False,-12.9,-27.7,-14.3,0.0
ALNY,1.5,COMP,2021-01-22,2021,2020-04-10,42,172.38,1.0,66.4,1.48,41,False,0.0534,0.0878,0.643,0.0537,False,True,0.0726,0.0461,1.36,0.94,0.99,0.02,UP,21.0,-20.7,False,-29.9,-24.1,-25.1,-21.0,5.8,False,-9.8,-1.0,-7.6,-23.8,-20.9,False,-36.8,-34.3,-29.5,-23.8
