ticker,R,start,asof,base_len,close,base_hi,base_lo,range_ratio,drift,prior_dd,above_ma200,mad_med,cv,mid_share,pre_vol,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,spring,date,rev_yoy,rev_yoy_prev,rev_accel,rev_ttm_yoy,ni_ttm,gm,q_date,fcf_ttm,eps_actual,eps_yoy,surprise_pct,eps_turn_pos,quality,sector,industry,mkt_cap,short_ratio,short_pct_float,shares_short,shares_short_prior,short_chg_mom
FOUR-P-A,1.5,2026-01-30,2026-09-11,33,56.85,75.14,51.42,1.46,-0.25,-0.58,,0.0498,0.1043,0.364,0.0446,0.23,True,0.086,44.8,1,14,0.0351,0.0513,0.7,0.79,1.12,0.0,False,2026-09-11,,,,,,,,,,,,,,,,,,,,,
FOUR-PA,1.5,2026-01-30,2026-09-11,33,56.85,71.49,50.2,1.42,-0.09,-0.55,,0.0663,0.1014,0.394,0.0442,0.31,True,0.113,46.1,1,14,0.0351,0.0469,0.53,0.79,1.5,0.0,False,2026-09-11,0.3405797101449275,0.32193396226415105,0.018645747880776442,0.3244418591767768,105300000.0,0.3444015444015444,2026-06-30,289200000.0,,,,,True,Technology,Software - Infrastructure,,,,,,
FOXA,1.5,2025-05-09,2026-09-11,71,65.18,73.61,49.55,1.49,0.3,-0.12,True,0.0762,0.0999,0.606,0.0291,0.65,False,-0.038,54.5,0,70,0.0441,0.103,0.58,1.49,2.62,0.01,False,2026-09-11,0.2814116215393976,-0.08625028597574924,0.3676619075151468,0.050674846625766934,1685000000.0,0.4819563152896486,2026-06-30,3603000000.0,1.79,0.4094488188976378,33.5821,False,True,Communication Services,Entertainment,27723646976.0,,0.2685,,,
FOXF,1.5,2025-11-28,2026-09-11,42,19.62,21.85,14.79,1.48,0.38,-0.78,False,0.063,0.0901,0.714,0.0742,0.68,True,0.131,51.8,1,41,0.043,0.081,0.68,0.88,0.85,0.0,False,2026-09-11,-0.0446615305817577,0.03838267188688271,-0.08304420246864042,0.015503671666717622,-298572000.0,0.3063006461485192,2026-06-30,12573000.0,0.37,-0.07500000000000007,131.25,False,False,Consumer Cyclical,Auto Parts,833474752.0,,0.0974,,,
FOXF,2.0,2025-09-12,2026-09-11,53,19.62,27.25,13.91,1.96,-0.19,-0.87,False,0.0782,0.1574,0.585,0.0606,0.43,True,0.131,51.8,2,42,0.043,0.081,0.55,0.83,1.29,0.0,False,2026-09-11,-0.0446615305817577,0.03838267188688271,-0.08304420246864042,0.015503671666717622,-298572000.0,0.3063006461485192,2026-06-30,12573000.0,0.37,-0.07500000000000007,131.25,False,False,Consumer Cyclical,Auto Parts,833474752.0,,0.0974,,,
FPI,1.5,2024-08-23,2026-09-11,108,10.64,12.82,8.56,1.5,0.12,-0.27,True,0.0519,0.0776,0.731,0.0319,0.49,False,-0.075,56.3,1,105,0.0324,0.0222,0.62,1.11,1.63,0.05,False,2026-09-11,-0.0565261044176707,-0.014631291455325823,-0.041894812962344874,-0.03159827645764779,25654000.0,0.906565925295307,2026-06-30,17792000.0,0.04,,100.0,True,True,Real Estate,REIT - Specialty,469983968.0,,0.0958,,,
FRHC,2.0,2024-09-06,2026-09-11,106,162.73,182.17,93.25,1.95,0.35,-0.07,True,0.0981,0.1485,0.679,0.0428,0.78,True,0.077,56.0,2,105,0.0496,0.0624,0.51,1.23,2.29,0.0,False,2026-09-11,0.37346959772282995,0.046922143384307446,0.3265474543385225,0.13634425061051836,154592000.0,0.5127607569616109,2026-06-30,-815212000.0,0.52,1.217573221757322,,True,False,Financial Services,Financial Conglomerates,10556858368.0,,0.0431,,,
FRMI,2.0,2026-03-06,2026-09-11,28,5.39,9.5,4.87,1.95,-0.13,-0.83,,0.1315,0.1913,0.5,0.1474,0.11,True,0.108,41.6,0,22,0.087,0.1278,0.66,1.06,0.89,0.0,False,2026-09-11,,,,,-694510000.0,,2026-06-30,-1240137613.0,-0.04,,33.3333,False,False,Real Estate,REIT - Specialty,3522570240.0,,0.1238,,,
FRPT,1.5,2026-03-20,2026-09-11,26,65.17,73.96,49.35,1.5,0.32,-0.69,False,0.1113,0.1229,0.5,0.0588,0.64,True,0.083,52.3,0,17,0.0553,0.0946,0.5,0.98,1.89,0.04,False,2026-09-11,0.1545134100774872,0.1306557669734738,0.023857643104013393,0.127675613234701,203474000.0,0.4211370248079925,2026-06-30,168553000.0,0.33,-0.029411764705882377,65.0,False,True,Consumer Defensive,Packaged Foods,3063221504.0,,0.193,,,
FRSH,2.0,2025-07-25,2026-09-11,60,11.87,14.19,7.24,1.96,-0.37,-0.7,False,0.1395,0.1762,0.467,0.0725,0.67,True,0.309,56.1,2,30,0.0481,0.0956,0.34,1.65,1.92,0.02,False,2026-09-11,0.1597582544289078,0.1648723971203374,-0.005114142691429624,0.15569807837135285,185195000.0,0.8479380900424219,2026-06-30,249747000.0,0.05,-0.7222222222222223,266.6667,False,True,Technology,Software - Application,3102348032.0,,0.1015,,,
