ticker,regime,kind,dt,fwd1d,fwd3d,fwd5d
CGNX,RANGE,CTRL,2024-04-01T15:30:00,-2.275,-3.904,-1.844
CGNX,RANGE,CTRL,2024-04-02T14:30:00,0.643,0.124,4.181
CGNX,RANGE,CTRL,2024-04-03T13:30:00,-1.199,0.196,0.459
CGNX,RANGE,H_DOWN,2024-04-03T15:30:00,-1.715,0.392,0.808
CGNX,RANGE,CTRL,2024-04-04T12:30:00,-0.676,3.207,0.823
CGNX,RANGE,CTRL,2024-04-05T11:30:00,1.388,1.611,0.099
CGNX,RANGE,CTRL,2024-04-08T10:30:00,2.907,-0.574,-1.258
CGNX,RANGE,CTRL,2024-04-09T09:30:00,-2.256,-4.654,-6.008
CGNX,RANGE,CTRL,2024-04-09T15:30:00,-2.465,-4.551,-6.091
CGNX,RANGE,H_UP,2024-04-10T14:30:00,-0.314,-3.65,-4.81
CGNX,RANGE,CTRL,2024-04-11T13:30:00,-1.921,-4.11,-6.141
CGNX,RANGE,CTRL,2024-04-12T12:30:00,0.012,-1.727,-3.964
CGNX,RANGE,H_DOWN,2024-04-12T14:30:00,-0.858,-2.052,-4.092
CGNX,RANGE,CTRL,2024-04-15T11:30:00,-1.75,-3.821,-4.301
CGNX,BEAR,CTRL,2024-04-16T10:30:00,-0.804,-2.236,-0.427
CGNX,BEAR,CTRL,2024-04-17T09:30:00,-1.631,-2.236,-0.344
CGNX,BEAR,CTRL,2024-04-17T15:30:00,-1.352,-0.102,0.765
CGNX,BEAR,CTRL,2024-04-18T14:30:00,-0.4,2.286,2.945
CGNX,BEAR,CTRL,2024-04-19T13:30:00,2.036,2.905,4.955
CGNX,BEAR,CTRL,2024-04-22T12:30:00,1.246,0.568,6.235
CGNX,BEAR,CTRL,2024-04-23T11:30:00,0.177,2.966,5.453
CGNX,BEAR,CTRL,2024-04-24T10:30:00,-1.071,5.116,3.072
CGNX,BEAR,H_UP,2024-04-24T14:30:00,0.416,3.855,5.316
CGNX,BEAR,CTRL,2024-04-25T09:30:00,2.979,6.519,10.912
CGNX,BEAR,CTRL,2024-04-25T15:30:00,2.035,4.372,8.97
CGNX,BEAR,CTRL,2024-04-26T14:30:00,1.483,2.911,8.746
