date,signal,ticker,name,tag,close,dd_pct,max_dd_26w_pct,to_high_pct,prior_52w_high,mkt_cap_B,sector,industry,pe,fwd_pe,rev_growth_pct,profit_margin_pct,fcf_B
2026-08-08,BOTTOM,WD,"Walker & Dunlop, Inc",SPEC,44.43,-47.2,-49.6,89.5,84.2,1.5,Financial Services,Mortgage Finance,39.669643,7.7879057,-10.0,3.3,
2026-08-08,BREAKOUT,WPP,WPP plc,SPEC,27.55,0.0,-60.2,-6.2,25.85,5.9,Communication Services,Advertising Agencies,,7.8752985,-4.4,-1.8,0.74
2026-08-08,BREAKOUT,ZBRA,Zebra Technologies Corporation,QUALITY,376.49,0.0,-39.6,-14.3,322.79,17.8,Technology,Communication Equipment,33.376774,17.023113,20.4,9.2,0.58
2026-08-08,BREAKOUT,ZETA,Zeta Global Holdings Corp.,QUALITY,26.64,0.0,-40.4,-8.4,24.4,6.6,Technology,Software - Infrastructure,Infinity,22.099997,43.5,-0.1,0.25
2026-08-15,GRADUATED,PRMB,,,24.7,-1.3,-47.4,1.3,25.02,,,,,,,,
2026-08-15,GRADUATED,P,,,118.16,0.0,-40.2,-16.5,98.7,,,,,,,,
2026-08-15,GRADUATED,BFLY,,,8.84,-0.7,-33.9,0.7,8.9,,,,,,,,
2026-08-15,GRADUATED,NET,,,315.78,0.0,-34.1,-4.9,300.27,,,,,,,,
2026-08-15,BOTTOM,ALNY,"Alnylam Pharmaceuticals, Inc.",QUALITY,228.65,-52.5,-57.3,110.7,481.67,30.6,Healthcare,Biotechnology,39.765217,18.165293,66.9,16.1,0.27
2026-08-15,BREAKOUT,AMPL,"Amplitude, Inc.",QUALITY,13.03,0.0,-56.0,-7.4,12.07,1.7,Technology,Software - Application,,75.39636,21.2,-26.6,0.07
2026-08-15,BOTTOM,ARQT,"Arcutis Biotherapeutics, Inc.",QUALITY,26.19,-16.1,-33.1,19.1,31.2,3.3,Healthcare,Biotechnology,119.045456,20.094683,59.3,6.1,0.02
2026-08-15,BREAKOUT,ATRC,"AtriCure, Inc.",QUALITY,44.3,0.0,-38.0,-4.3,42.38,2.3,Healthcare,Medical Instruments & Supplies,210.95238,102.603294,12.8,1.9,0.05
2026-08-15,BREAKOUT,AVAH,Aveanna Healthcare Holdings Inc,QUALITY,12.32,0.0,-36.9,-20.0,9.86,2.7,Healthcare,Medical Care Facilities,9.777778,14.241457,13.7,10.6,0.1
2026-08-15,BREAKOUT,AX,"Axos Financial, Inc.",QUALITY,102.16,0.0,-17.9,-1.1,101.01,5.8,Financial Services,Banks - Regional,12.047171,9.459259,18.1,36.0,
