ticker,signal,date,price,fwd13w,fwd26w,fwd52w,exc13w,exc26w,exc52w,mae26w
KGC,BREAKOUT,2023-10-16,5.18,1.6,28.1,102.2,-13.4,9.7,61.6,-6.3
KGS,BOTTOM,2025-05-12,33.98,-0.5,-2.4,114.8,-9.1,-16.2,89.0,-12.0
KGS,BOTTOM,2025-10-27,35.79,15.4,90.2,,13.7,83.9,,-8.0
KGS,BREAKOUT,2026-02-02,49.09,40.9,,,33.8,,,0.0
KHC,BREAKOUT,2020-06-01,24.4,3.8,7.1,40.6,-4.0,-9.7,6.2,-9.7
KHC,BREAKOUT,2022-04-18,34.83,-10.4,-16.8,-5.3,-3.5,-5.4,-3.7,-21.9
KIM,BREAKOUT,2019-01-28,12.19,7.7,14.5,17.6,-1.7,5.2,-3.8,0.0
KIM,BREAKOUT,2023-12-11,19.91,-14.4,-13.9,15.3,-23.4,-29.9,-14.7,-17.9
KKR,BREAKOUT,2019-09-09,26.26,4.1,-9.2,25.3,-1.8,0.5,12.1,-9.2
KLAC,BREAKOUT,2019-03-11,10.91,-7.7,27.2,24.3,-10.5,19.7,27.1,-13.2
KLAC,BREAKOUT,2025-06-09,86.21,11.3,38.1,195.3,0.9,23.3,169.6,-2.0
KLIC,BREAKOUT,2018-07-09,24.85,-25.0,-23.6,-22.2,-24.2,-17.2,-31.8,-35.5
KLIC,BOTTOM,2019-04-29,20.9,-5.3,4.2,-5.8,-5.3,-0.9,-3.9,-19.1
KLIC,BREAKOUT,2020-11-02,26.07,51.6,79.3,103.8,40.5,57.9,68.1,-0.2
KMI,BREAKOUT,2022-02-28,14.97,7.4,-0.3,-0.4,12.1,8.3,4.5,-13.5
KMI,BREAKOUT,2026-01-19,29.02,8.4,,,4.5,,,0.0
KMPR,BOTTOM,2020-03-16,50.64,19.6,20.0,41.3,-15.9,-25.7,-31.6,-0.4
KMPR,BOTTOM,2020-06-15,60.56,0.4,10.8,1.4,-7.2,-9.8,-35.0,-11.3
KMT,BOTTOM,2020-01-20,28.55,-31.9,-20.9,20.8,-18.4,-19.5,2.1,-53.9
KMT,BREAKOUT,2020-11-30,32.03,6.0,2.3,-2.6,1.9,-12.8,-26.9,-4.7
KMX,BREAKOUT,2018-06-18,80.19,-2.5,-26.5,6.8,-9.3,-15.0,-2.3,-26.5
KMX,BREAKOUT,2019-06-10,83.54,3.8,17.2,7.7,-0.8,6.4,0.4,-3.2
KMX,BOTTOM,2023-04-24,70.03,17.8,-13.6,-0.6,7.6,-13.0,-24.6,-13.6
KMX,BREAKOUT,2024-03-25,87.11,-15.8,-11.2,-12.8,-20.2,-21.2,-20.3,-21.5
KMX,BREAKOUT,2025-02-10,88.9,-24.4,-35.0,-53.4,-22.1,-41.2,-66.5,-38.2
KN,BREAKOUT,2018-07-23,17.65,-14.5,-16.7,13.4,-9.2,-12.1,3.9,-29.9
KN,BOTTOM,2020-06-15,15.6,-5.0,15.1,21.8,-12.6,-5.5,-14.6,-8.7
KN,BOTTOM,2020-11-16,16.94,24.3,19.5,30.2,14.0,1.8,-3.7,0.0
KN,BOTTOM,2023-03-13,15.99,11.8,-10.9,-4.8,-1.3,-25.4,-37.4,-10.9
KN,BOTTOM,2024-03-11,15.23,14.8,13.7,5.2,8.4,3.1,-6.3,0.0
KN,BREAKOUT,2024-07-08,18.71,-5.6,3.9,-1.8,-9.4,-0.4,-14.5,-10.3
KNF,BOTTOM,2026-03-23,80.2,15.9,,,0.6,,,-10.0
KNSA,BOTTOM,2021-03-29,18.48,-23.8,-37.9,-41.8,-32.4,-47.0,-56.4,-37.9
KNSA,BOTTOM,2022-10-17,12.51,12.3,-6.8,24.5,6.1,-17.9,10.2,-14.4
KNSA,BREAKOUT,2023-07-24,18.95,-19.5,-3.9,37.8,-9.7,-11.3,17.0,-23.8
KNSA,BREAKOUT,2024-02-05,20.28,-3.7,24.1,-3.9,-7.9,17.1,-25.3,-16.6
KNSL,BOTTOM,2021-10-25,185.54,3.9,18.6,67.8,7.4,28.3,81.8,0.0
KNSL,BREAKOUT,2022-07-25,241.53,28.9,12.4,55.1,34.1,13.1,42.4,0.0
KNTK,BREAKOUT,2022-05-23,31.48,-13.1,-20.3,-21.5,-11.1,-18.0,-24.4,-24.2
KNTK,BOTTOM,2025-10-27,37.11,6.2,33.1,,4.5,26.8,,-15.2
KNTK,BREAKOUT,2026-03-23,47.76,4.2,,,-11.1,,,-5.4
KNX,BREAKOUT,2021-03-22,45.06,-3.7,9.5,11.6,-11.8,-3.4,-4.2,-6.2
KNX,BOTTOM,2025-08-11,41.93,1.5,41.2,,-3.2,34.6,,-6.3
KNX,BREAKOUT,2026-01-05,56.85,8.4,32.3,,10.3,22.9,,-8.9
KO,BREAKOUT,2018-10-29,37.89,2.3,3.2,15.9,2.4,-6.1,1.1,-5.8
KO,BREAKOUT,2019-06-03,41.33,8.1,8.1,-1.6,4.0,-2.4,-14.9,-0.3
KO,BOTTOM,2020-03-23,35.45,2.7,15.8,28.1,-16.2,-15.0,-30.7,0.0
KO,BOTTOM,2020-06-15,38.46,10.5,18.6,20.6,3.0,-2.0,-15.8,-5.3
KO,BREAKOUT,2025-11-17,71.48,10.2,13.3,,5.3,-0.5,,-4.6
KOD,BREAKOUT,2020-10-12,76.49,107.3,50.2,46.4,98.6,29.1,16.2,0.0
KOD,BOTTOM,2021-12-06,82.71,-90.4,-90.2,-91.7,-79.9,-73.6,-76.5,-93.3
KOD,BREAKOUT,2024-11-25,6.67,-38.4,-49.0,244.5,-37.3,-47.5,229.7,-67.3
KOD,BREAKOUT,2025-08-11,10.57,84.6,108.8,,79.9,102.2,,-14.5
