ticker,kind,regime,char,dt,fwd1d,fwd3d,fwd5d
XLV,CTRL,BULL,PARABOLIC,2026-07-09T14:30:00,-0.465,-2.102,-0.213
XLV,CTRL,BULL,PARABOLIC,2026-07-10T13:30:00,0.501,-1.081,0.327
XLV,CTRL,BULL,PARABOLIC,2026-07-13T12:30:00,-1.848,-0.015,
XLV,TOP,BULL,PARABOLIC,2026-07-13T14:30:00,-1.941,-0.05,
XLV,CTRL,BULL,NORMAL,2026-07-14T11:30:00,0.373,2.213,
XLV,CTRL,BULL,NORMAL,2026-07-15T10:30:00,1.878,,
XLV,CTRL,BULL,PARABOLIC,2026-07-16T09:30:00,0.47,,
XLV,CTRL,BULL,PARABOLIC,2026-07-16T15:30:00,-0.433,,
XLV,CTRL,BULL,PARABOLIC,2026-07-17T14:30:00,,,
MU,CTRL,BEAR,NORMAL,2024-10-24T13:30:00,1.849,0.976,-6.625
MU,TOP,BEAR,NORMAL,2024-10-24T14:30:00,1.519,1.594,-6.32
MU,CTRL,BEAR,NORMAL,2024-10-25T12:30:00,-0.886,-3.662,-7.583
MU,CTRL,BEAR,NORMAL,2024-10-28T11:30:00,-1.068,-7.283,-4.473
MU,CTRL,BEAR,NORMAL,2024-10-29T10:30:00,-0.123,-5.068,-1.637
MU,CTRL,BEAR,NORMAL,2024-11-07T09:30:00,-0.74,-8.6,-10.628
MU,CTRL,BEAR,NORMAL,2024-11-07T15:30:00,-1.296,-8.218,-12.53
MU,CTRL,BEAR,NORMAL,2024-11-08T14:30:00,-3.053,-10.309,-13.765
MU,CTRL,BEAR,NORMAL,2024-11-11T13:30:00,-3.549,-7.508,-9.299
MU,CTRL,BEAR,NORMAL,2024-11-12T12:30:00,-2.256,-6.368,-4.823
MU,CTRL,BEAR,NORMAL,2024-11-13T11:30:00,-0.744,-2.546,-2.667
MU,CTRL,BEAR,NORMAL,2024-11-14T10:30:00,-3.668,-2.768,0.889
MU,TOP,BEAR,NORMAL,2024-11-14T14:30:00,-2.944,-1.671,3.562
MU,CTRL,BEAR,NORMAL,2024-12-03T14:30:00,2.911,1.25,-2.48
MU,CTRL,BEAR,NORMAL,2024-12-04T13:30:00,-1.311,0.034,-0.765
MU,CTRL,BEAR,NORMAL,2024-12-05T12:30:00,-0.131,-2.83,-3.13
MU,CTRL,BEAR,NORMAL,2025-02-20T14:30:00,-3.847,-8.686,-10.592
MU,CTRL,BEAR,NORMAL,2025-02-21T13:30:00,-0.951,-0.879,-4.958
MU,CTRL,BEAR,NORMAL,2025-02-24T12:30:00,-4.405,-2.484,-6.016
MU,CTRL,BEAR,NORMAL,2025-03-27T13:30:00,-3.104,-4.169,-16.654
MU,CTRL,BEAR,NORMAL,2025-03-28T12:30:00,-2.335,1.72,-25.754
MU,CTRL,BEAR,NORMAL,2025-03-31T11:30:00,3.025,-9.734,-22.29
MU,CTRL,BEAR,NORMAL,2025-04-01T10:30:00,-0.282,-24.554,-21.004
MU,CTRL,BEAR,NORMAL,2025-04-02T09:30:00,-9.497,-24.342,-25.421
MU,CTRL,BEAR,NORMAL,2025-04-02T15:30:00,-16.076,-22.827,-12.136
MU,CTRL,BEAR,CAPITULATIVE,2025-04-03T14:30:00,-12.614,-13.547,-8.243
MU,CTRL,BEAR,CAPITULATIVE,2025-04-04T13:30:00,4.376,19.864,6.699
MU,CTRL,BEAR,CAPITULATIVE,2025-04-07T12:30:00,-2.299,0.669,2.503
MU,CTRL,BEAR,CAPITULATIVE,2025-04-08T11:30:00,-7.089,-2.239,3.408
MU,CTRL,BEAR,CAPITULATIVE,2025-04-09T10:30:00,9.533,11.288,9.201
MU,CTRL,BEAR,CAPITULATIVE,2025-04-10T09:30:00,-6.532,-0.433,-6.407
MU,CTRL,BEAR,CAPITULATIVE,2025-04-10T15:30:00,-0.757,1.385,-1.799
MU,CTRL,BEAR,CAPITULATIVE,2025-04-11T14:30:00,2.606,-3.695,-5.477
MU,BOTTOM,BEAR,CAPITULATIVE,2025-04-11T15:30:00,2.129,-0.23,-3.97
MU,CTRL,BEAR,CAPITULATIVE,2025-04-14T13:30:00,-0.714,-3.68,-2.504
MU,CTRL,BEAR,CAPITULATIVE,2025-04-15T12:30:00,-1.197,-6.95,3.929
MU,TOP,BEAR,CAPITULATIVE,2025-04-15T14:30:00,-4.866,-6.627,3.098
MU,CTRL,BEAR,CAPITULATIVE,2025-04-16T11:30:00,-2.591,-0.293,9.336
MU,CTRL,BEAR,CAPITULATIVE,2025-04-17T10:30:00,-1.816,8.418,15.488
MU,CTRL,BEAR,CAPITULATIVE,2025-04-21T09:30:00,2.909,14.095,18.519
MU,CTRL,BEAR,CAPITULATIVE,2025-04-21T15:30:00,5.183,15.908,17.674
MU,CTRL,BEAR,CAPITULATIVE,2025-04-22T14:30:00,5.189,15.075,11.539
MU,CTRL,BEAR,CAPITULATIVE,2025-04-23T13:30:00,4.52,5.873,3.406
MU,CTRL,BEAR,NORMAL,2025-04-24T12:30:00,4.254,-0.351,2.299
MU,CTRL,BEAR,NORMAL,2025-04-25T11:30:00,-2.531,-4.891,2.779
MU,CTRL,BULL,NORMAL,2025-07-14T10:30:00,0.327,-5.286,-3.148
MU,CTRL,BULL,NORMAL,2025-07-15T09:30:00,-2.839,-5.345,-9.175
MU,CTRL,BULL,NORMAL,2025-07-15T15:30:00,-3.032,-4.724,-9.063
MU,CTRL,BULL,NORMAL,2025-08-27T14:30:00,3.646,0.035,4.829
MU,CTRL,BULL,NORMAL,2025-08-28T13:30:00,-3.117,-3.527,5.88
MU,CTRL,BULL,NORMAL,2025-08-29T12:30:00,-1.18,1.993,10.665
MU,CTRL,BULL,NORMAL,2025-09-02T11:30:00,1.906,10.194,16.435
MU,CTRL,BULL,NORMAL,2025-09-03T10:30:00,1.472,12.096,19.797
MU,CTRL,BULL,NORMAL,2025-09-04T09:30:00,7.259,10.963,26.006
MU,CTRL,BULL,NORMAL,2025-09-04T15:30:00,5.789,8.889,21.208
MU,CTRL,BULL,NORMAL,2025-09-05T14:30:00,1.625,7.551,21.348
MU,CTRL,BULL,NORMAL,2025-09-08T13:30:00,2.621,15.373,19.54
MU,CTRL,BULL,NORMAL,2025-09-09T12:30:00,3.456,15.689,16.657
MU,CTRL,BULL,PARABOLIC,2025-09-10T11:30:00,8.579,11.693,12.14
MU,CTRL,BULL,PARABOLIC,2025-09-11T10:30:00,1.786,3.018,9.993
MU,CTRL,BULL,PARABOLIC,2025-09-12T09:30:00,1.34,2.126,3.218
MU,BOTTOM,BULL,PARABOLIC,2025-09-12T13:30:00,-0.07,0.628,3.607
MU,CTRL,BULL,PARABOLIC,2025-09-12T15:30:00,0.35,1.762,3.486
MU,CTRL,BULL,PARABOLIC,2025-09-15T14:30:00,0.566,6.841,5.255
MU,CTRL,BULL,PARABOLIC,2025-09-16T13:30:00,0.285,3.253,5.297
MU,CTRL,BULL,PARABOLIC,2025-09-17T12:30:00,7.137,5.224,1.016
MU,CTRL,BULL,PARABOLIC,2025-09-18T11:30:00,-4.163,-0.669,-7.98
MU,CTRL,BULL,PARABOLIC,2025-09-19T10:30:00,3.453,1.484,-1.895
MU,CTRL,BULL,PARABOLIC,2025-09-22T09:30:00,2.07,-4.006,-0.373
MU,CTRL,BULL,PARABOLIC,2025-09-22T15:30:00,1.143,-4.727,-0.407
MU,BOTTOM,BULL,PARABOLIC,2025-09-23T13:30:00,-3.15,-5.62,-0.601
MU,CTRL,BULL,PARABOLIC,2025-09-23T14:30:00,-2.832,-6.321,-0.664
MU,CTRL,BULL,PARABOLIC,2025-09-24T13:30:00,-3.333,1.368,11.28
MU,CTRL,BULL,PARABOLIC,2025-09-25T12:30:00,1.204,6.068,18.486
MU,CTRL,BULL,PARABOLIC,2025-09-26T11:30:00,3.156,13.942,20.479
MU,TOP,BULL,PARABOLIC,2025-09-26T14:30:00,4.738,15.939,20.121
MU,CTRL,BULL,PARABOLIC,2025-09-29T10:30:00,1.05,11.816,17.594
MU,CTRL,BULL,PARABOLIC,2025-09-30T09:30:00,3.658,12.484,13.213
MU,CTRL,BULL,PARABOLIC,2025-09-30T15:30:00,8.787,12.204,10.902
MU,CTRL,BULL,PARABOLIC,2025-10-01T14:30:00,1.727,5.597,8.051
MU,CTRL,BULL,PARABOLIC,2025-10-02T13:30:00,2.33,1.055,4.087
MU,CTRL,BULL,PARABOLIC,2025-10-03T12:30:00,3.563,3.148,-1.338
MU,CTRL,BULL,PARABOLIC,2025-10-06T11:30:00,-5.485,-1.762,-2.661
MU,CTRL,BULL,PARABOLIC,2025-10-07T10:30:00,4.213,-1.818,1.387
MU,BOTTOM,BULL,PARABOLIC,2025-10-08T09:30:00,-0.005,-2.777,-1.944
MU,CTRL,BULL,PARABOLIC,2025-10-08T15:30:00,-2.167,-1.964,-2.34
MU,CTRL,BULL,PARABOLIC,2025-10-09T14:30:00,-4.709,-0.288,4.899
MU,CTRL,BULL,PARABOLIC,2025-10-10T13:30:00,4.984,3.862,9.201
MU,CTRL,BULL,PARABOLIC,2025-10-13T12:30:00,0.382,6.512,8.227
MU,CTRL,BULL,PARABOLIC,2025-10-14T11:30:00,-0.5,3.728,6.722
MU,TOP,BULL,PARABOLIC,2025-10-14T12:30:00,-1.498,3.207,5.812
MU,CTRL,BULL,PARABOLIC,2025-10-15T10:30:00,7.368,9.809,2.241
MU,BOTTOM,BULL,PARABOLIC,2025-10-15T13:30:00,5.101,7.849,2.432
MU,CTRL,BULL,PARABOLIC,2025-10-16T09:30:00,-1.194,-0.735,-0.534
MU,CTRL,BULL,PARABOLIC,2025-10-16T15:30:00,-0.054,-0.119,2.064
MU,CTRL,BULL,PARABOLIC,2025-10-17T14:30:00,2.158,-2.234,8.196
MU,CTRL,BULL,PARABOLIC,2025-10-20T13:30:00,-1.36,-0.564,5.996
MU,CTRL,BULL,PARABOLIC,2025-10-21T12:30:00,-4.646,6.764,8.923
MU,CTRL,BULL,NORMAL,2025-10-22T11:30:00,5.042,12.05,17.364
MU,CTRL,BULL,PARABOLIC,2025-10-23T10:30:00,6.365,7.137,10.717
MU,CTRL,BULL,PARABOLIC,2025-10-24T09:30:00,1.692,7.152,6.469
MU,CTRL,BULL,PARABOLIC,2025-10-24T15:30:00,0.47,3.507,2.164
MU,CTRL,BULL,PARABOLIC,2025-10-27T14:30:00,1.241,3.022,6.962
MU,CTRL,BULL,PARABOLIC,2025-10-28T13:30:00,3.565,0.783,0.018
MU,CTRL,BULL,PARABOLIC,2025-10-29T12:30:00,-1.356,3.12,3.033
MU,CTRL,BULL,PARABOLIC,2025-10-30T11:30:00,-2.281,-0.689,4.552
MU,BOTTOM,BULL,PARABOLIC,2025-10-30T14:30:00,-0.263,-2.947,6.339
MU,CTRL,BULL,PARABOLIC,2025-10-31T10:30:00,3.279,4.474,1.88
MU,CTRL,BULL,PARABOLIC,2025-11-03T09:30:00,-2.905,2.746,9.387
MU,CTRL,BULL,PARABOLIC,2025-11-03T15:30:00,-7.12,1.568,7.879
MU,CTRL,BULL,NORMAL,2025-11-04T14:30:00,9.386,7.043,10.634
MU,CTRL,BULL,PARABOLIC,2025-11-05T13:30:00,1.567,6.398,2.556
MU,CTRL,BULL,PARABOLIC,2025-11-06T12:30:00,-2.21,1.763,-2.899
MU,CTRL,BULL,PARABOLIC,2025-11-07T11:30:00,10.304,5.428,10.686
MU,CTRL,BULL,PARABOLIC,2025-11-10T10:30:00,-3.666,-5.842,-0.99
MU,CTRL,BULL,NORMAL,2025-11-11T09:30:00,2.297,2.662,-5.249
MU,BOTTOM,BULL,NORMAL,2025-11-11T14:30:00,0.621,2.851,-4.939
MU,CTRL,BULL,NORMAL,2025-11-11T15:30:00,1.58,2.385,-5.222
MU,CTRL,BULL,NORMAL,2025-11-12T14:30:00,-2.988,-1.455,-6.708
MU,CTRL,BULL,NORMAL,2025-11-13T13:30:00,7.368,-0.423,-11.822
MU,CTRL,BULL,NORMAL,2025-11-14T12:30:00,-2.587,-11.647,-18.789
MU,CTRL,BULL,NORMAL,2025-11-17T11:30:00,-7.706,-16.777,-10.214
MU,CTRL,BULL,NORMAL,2025-11-18T10:30:00,-1.9,-13.067,-3.712
MU,CTRL,BULL,NORMAL,2025-11-19T09:30:00,-4.609,-5.011,-1.634
MU,CTRL,BULL,NORMAL,2025-11-19T15:30:00,-10.855,-0.93,1.926
MU,CTRL,BULL,NORMAL,2025-11-20T14:30:00,3.03,10.719,17.443
MU,CTRL,BULL,NORMAL,2025-11-21T13:30:00,5.736,9.583,11.627
MU,CTRL,BULL,NORMAL,2025-11-24T12:30:00,0.276,5.724,4.739
MU,CTRL,BULL,NORMAL,2025-11-25T11:30:00,3.379,7.559,4.755
MU,TOP,BULL,NORMAL,2025-11-25T13:30:00,3.366,5.295,1.107
MU,CTRL,BULL,NORMAL,2025-11-26T10:30:00,1.756,3.231,-2.957
MU,CTRL,BULL,NORMAL,2025-11-28T09:30:00,1.802,-1.143,0.987
MU,CTRL,BULL,NORMAL,2025-12-11T10:30:00,-4.86,-9.226,-2.029
MU,BOTTOM,BULL,NORMAL,2025-12-11T14:30:00,-7.007,-10.257,-2.66
MU,CTRL,BULL,NORMAL,2025-12-12T09:30:00,-0.653,-3.691,7.524
MU,CTRL,BULL,NORMAL,2025-12-12T15:30:00,-1.485,-6.371,10.312
MU,CTRL,BULL,NORMAL,2025-12-15T14:30:00,-2.185,6.095,15.937
MU,CTRL,BULL,NORMAL,2025-12-16T13:30:00,-4.069,15.024,19.262
MU,CTRL,BULL,NORMAL,2025-12-17T12:30:00,13.502,20.818,26.169
MU,TOP,BULL,NORMAL,2025-12-17T14:30:00,11.529,21.875,25.55
MU,CTRL,BULL,NORMAL,2025-12-18T11:30:00,5.523,10.19,13.557
MU,CTRL,BULL,NORMAL,2025-12-19T10:30:00,3.846,9.331,12.396
MU,CTRL,BULL,NORMAL,2025-12-22T09:30:00,0.949,5.577,9.14
MU,CTRL,BULL,NORMAL,2025-12-22T15:30:00,-0.107,4.981,4.073
MU,CTRL,BULL,NORMAL,2025-12-23T14:30:00,2.699,6.76,11.382
MU,CTRL,BULL,NORMAL,2026-02-11T12:30:00,3.4,-0.188,2.318
MU,CTRL,BULL,NORMAL,2026-02-12T11:30:00,-1.036,1.949,0.86
MU,CTRL,BULL,NORMAL,2026-02-13T10:30:00,-1.147,1.643,2.693
MU,CTRL,BULL,NORMAL,2026-02-17T09:30:00,5.286,5.889,6.126
