ticker,bottom_date,breakout_date,weeks_to_breakout,head_start_pct,bottom_fwd26w,breakout_fwd26w
CTOS,2025-02-10,2025-07-28,24.0,22.7,17.3,2.6
CTOS,2025-04-07,2025-07-28,16.0,80.6,80.1,2.6
CTRN,2019-04-22,2019-12-09,33.0,16.3,-2.7,-29.1
CTS,2025-09-01,2026-01-26,21.0,21.6,13.3,
CUE,2023-01-23,2023-04-24,13.0,25.9,11.6,-58.7
CVBF,2024-01-15,2024-11-04,42.0,19.8,2.3,-11.0
CVCO,2022-12-05,2023-02-27,12.0,22.8,16.0,-3.1
CVI,2021-04-12,2022-03-07,47.0,42.1,18.1,54.7
CVI,2022-02-21,2022-03-07,2.0,36.4,124.5,54.7
CVSA,2020-09-14,2021-01-11,17.0,43.0,60.5,-4.5
CWH,2022-10-24,2023-06-26,35.0,15.0,-16.3,-11.8
CX,2020-03-02,2020-11-09,36.0,52.1,8.9,87.8
CXW,2021-04-19,2022-04-11,51.0,64.4,10.0,-30.1
CYRX,2018-12-03,2019-05-13,23.0,56.3,56.0,-11.6
CZR,2020-10-19,2020-11-23,5.0,28.2,75.1,53.3
DAL,2021-01-04,2021-02-22,7.0,19.8,7.2,-13.4
DASH,2023-03-20,2023-07-10,16.0,38.4,25.6,24.0
DAVE,2023-11-27,2024-01-15,7.0,98.7,627.9,204.9
DBRG,2025-11-17,2025-12-01,2.0,54.0,71.5,11.1
DBX,2023-03-06,2023-06-12,14.0,35.8,45.8,14.1
DCO,2022-08-01,2023-01-09,23.0,25.8,23.5,-19.1
DD,2020-10-26,2020-11-23,4.0,14.0,36.8,32.1
DDOG,2025-09-15,2025-11-03,7.0,37.8,-9.9,4.7
DDS,2017-12-11,2018-02-26,11.0,51.6,56.8,-10.5
DDS,2020-11-16,2021-01-18,9.0,72.4,190.2,129.0
DDS,2023-09-11,2023-12-11,13.0,31.4,41.6,4.8
DELL,2019-12-23,2020-07-13,29.0,18.4,2.5,23.0
DFTX,2023-08-21,2024-02-12,25.0,29.5,29.2,29.3
DFTX,2025-02-17,2025-08-18,26.0,33.6,33.6,68.1
DGII,2024-05-06,2024-11-04,26.0,18.1,18.1,1.3
DHC,2023-04-10,2023-06-05,8.0,150.0,78.2,-5.9
DHC,2024-11-04,2025-09-01,43.0,58.9,15.9,68.9
DIOD,2020-06-15,2020-10-05,16.0,28.1,36.6,25.6
DIOD,2023-01-02,2023-01-30,4.0,18.3,10.4,-8.5
DK,2023-11-06,2024-03-18,19.0,21.2,9.0,-34.5
DK,2025-02-17,2025-06-30,19.0,43.4,53.6,31.2
DKNG,2025-01-06,2025-02-10,5.0,35.5,8.8,-16.0
DLTR,2025-03-24,2025-07-07,15.0,50.3,30.7,21.0
DMRA,2022-10-10,2023-01-30,16.0,42.3,-0.3,-0.7
DNOW,2023-09-04,2024-02-26,25.0,25.6,30.4,-8.2
DNTH,2023-09-04,2024-01-22,20.0,47.0,106.7,62.0
DOCN,2025-07-14,2025-11-03,16.0,67.6,78.7,231.3
DOO,2019-04-22,2019-10-14,25.0,34.7,36.6,-57.3
DORM,2023-03-06,2024-02-26,51.0,11.7,-5.8,21.7
DOV,2020-06-15,2020-11-09,21.0,29.4,31.6,24.8
DOW,2025-12-01,2026-03-09,14.0,61.4,51.2,
DQ,2019-04-01,2019-06-03,9.0,17.0,25.2,7.9
DQ,2025-02-24,2025-09-01,27.0,44.2,25.2,-24.1
DRD,2019-04-01,2019-06-17,11.0,51.4,149.9,65.9
DRTS,2025-03-03,2025-09-15,28.0,47.7,30.2,72.9
DRUG,2024-08-19,2024-10-14,8.0,4574.3,3463.4,-29.9
DRUG,2025-03-03,2025-09-15,28.0,54.4,22.4,34.4
DRVN,2024-04-29,2024-11-04,27.0,41.1,27.3,8.1
DUOT,2020-03-02,2021-02-08,49.0,17.8,-30.9,-9.3
DUOT,2024-07-01,2024-11-25,21.0,99.6,172.2,38.3
DXPE,2022-10-31,2023-06-05,31.0,22.5,-15.6,-9.9
DY,2020-06-15,2020-08-24,10.0,47.5,81.3,33.1
DYN,2025-12-01,2026-06-29,30.0,13.8,-16.0,
EBC,2023-12-04,2024-07-08,31.0,17.0,2.8,13.1
EBS,2019-12-23,2020-02-17,8.0,22.1,39.4,94.2
EBS,2024-05-20,2024-07-01,6.0,66.6,99.2,30.1
EBS,2025-09-22,2025-10-27,5.0,40.1,-11.0,-32.1
ECHO,2023-04-03,2023-08-07,18.0,27.6,-20.4,-41.2
ECPG,2020-10-05,2021-05-31,34.0,23.2,1.0,24.0
ECPG,2025-03-24,2025-11-24,35.0,51.5,27.6,54.0
EDSA,2019-03-18,2019-05-27,10.0,69.6,-3.6,-57.3
EFOR,2019-05-27,2019-12-09,28.0,37.7,32.1,-15.5
EFSC,2023-08-21,2024-07-15,47.0,25.2,6.2,22.8
EFXT,2021-04-12,2021-10-04,25.0,24.5,39.8,-9.8
EGO,2023-03-27,2023-11-27,35.0,30.5,-14.0,19.6
EGP,2020-06-15,2020-10-05,16.0,25.3,17.4,3.5
EGY,2018-01-29,2018-05-07,14.0,80.6,259.5,37.7
EGY,2023-04-03,2024-03-11,49.0,32.2,-9.5,3.0
EGY,2023-07-31,2024-03-11,32.0,33.6,-1.7,3.0
EGY,2025-10-27,2026-01-12,11.0,16.7,70.0,20.6
EH,2024-11-11,2025-02-10,13.0,54.4,14.9,-30.0
EHC,2022-05-16,2022-12-19,31.0,16.4,9.9,10.3
ELVA,2025-01-06,2025-05-12,18.0,23.6,55.7,56.3
ELVA,2025-04-21,2025-05-12,3.0,12.6,144.4,56.3
EMN,2019-05-20,2019-11-04,24.0,24.0,14.7,-23.7
ENPH,2017-09-18,2017-11-06,7.0,39.7,242.6,158.4
ENTG,2025-11-10,2026-01-12,9.0,49.9,70.3,18.4
ENVA,2020-09-14,2020-12-21,14.0,55.8,121.1,34.9
ENVA,2022-12-12,2023-01-30,7.0,41.7,38.7,3.4
EPC,2020-03-16,2020-11-09,34.0,43.3,17.7,24.1
EQR,2021-01-25,2021-03-08,6.0,19.1,38.7,12.7
EQX,2023-03-28,2024-03-26,52.0,16.1,-22.9,-0.7
ERAS,2024-06-24,2024-07-08,2.0,25.8,7.6,-20.4
ERAS,2025-07-07,2025-11-24,20.0,118.6,366.2,305.0
ERNA,2020-10-12,2021-01-25,15.0,81.4,84.7,47.3
ESRT,2023-03-06,2023-07-24,20.0,16.5,16.3,15.7
ESRT,2023-06-19,2023-07-24,5.0,32.3,45.3,15.7
ESTA,2024-12-09,2025-10-13,44.0,2.8,-18.6,41.9
ESTA,2025-09-15,2025-10-13,4.0,19.8,58.8,41.9
ETON,2020-02-10,2020-09-07,30.0,9.8,1.0,6.6
ETON,2024-07-22,2024-09-09,7.0,43.9,365.6,202.5
ETR,2020-09-14,2021-08-09,47.0,19.4,5.1,-1.9
EVC,2020-09-07,2020-11-16,10.0,97.0,199.8,70.8
EVER,2022-04-11,2023-01-16,40.0,17.4,-60.4,-60.2
EVLV,2025-02-17,2025-05-12,12.0,52.1,133.1,9.9
EW,2023-07-31,2024-03-25,34.0,20.1,8.2,-30.3
EWBC,2020-02-24,2020-12-21,43.0,33.2,-1.0,48.6
EWTX,2025-02-17,2026-01-19,48.0,5.7,-45.1,
EXK,2019-10-07,2020-07-13,40.0,37.1,-31.9,46.2
EXK,2024-09-16,2025-07-07,42.0,57.4,25.6,81.8
EXTR,2022-03-28,2022-10-24,30.0,45.6,6.5,-0.4
EYE,2025-02-03,2025-05-05,13.0,48.3,95.5,40.5
EYPT,2017-12-11,2018-04-23,19.0,102.7,80.5,-3.1
EYPT,2023-05-22,2023-07-17,8.0,92.4,3.5,95.6
F,2023-04-17,2023-06-26,10.0,29.7,0.9,-17.3
FANG,2025-11-10,2026-01-26,11.0,9.9,38.0,
FBK,2023-11-06,2023-12-11,5.0,28.0,27.2,-7.9
FBNC,2023-08-28,2024-07-15,46.0,28.2,12.7,16.9
FBNC,2024-02-19,2024-07-15,21.0,13.2,27.5,16.9
FBRX,2020-05-04,2020-09-14,19.0,208.5,115.6,-43.6
FBRX,2024-05-20,2024-11-25,27.0,49.7,10.3,-60.8
