ticker,group,hold_terminal,hold_maxdd,BRAKE_ratio,BRAKE_maxdd,BRAKE_pct_collared,COLLAR_ratio,COLLAR_maxdd,COLLAR_pct_collared
PL,stock,3.881,-69.8,2.329,-56.1,0.0,1.0,-69.8,0.0
IRDM,stock,2.556,-75.0,0.929,-46.5,0.0,0.835,-47.4,49.1
LDOS,stock,1.689,-48.4,0.512,-57.2,0.0,0.902,-38.0,32.4
BAH,stock,2.022,-64.7,2.154,-26.7,0.0,1.343,-41.5,25.5
CACI,stock,2.503,-42.5,0.528,-42.5,0.0,0.806,-35.9,15.5
SAIC,stock,1.683,-44.8,0.541,-46.7,0.0,0.848,-45.0,39.6
LLY,stock,15.296,-34.5,0.613,-31.9,0.0,0.781,-22.1,15.7
NVO,stock,2.39,-74.0,2.148,-22.5,0.0,1.376,-43.5,24.6
VKTX,stock,17.827,-87.7,0.506,-88.7,0.0,0.956,-64.8,50.9
HIMS,stock,2.532,-77.5,1.445,-59.7,0.0,1.341,-57.0,42.2
TEM,stock,0.766,-45.3,0.88,-45.3,0.0,0.988,-36.7,62.9
RXRX,stock,0.265,-81.1,1.448,-72.1,0.0,0.981,-76.9,75.4
SDGR,stock,0.207,-85.8,3.106,-64.3,0.0,3.037,-65.4,77.5
WGS,stock,7.373,-75.6,1.0,-75.6,0.0,1.179,-55.9,14.9
ISRG,stock,1.83,-49.8,1.399,-35.7,0.0,1.144,-36.7,25.0
SYK,stock,1.836,-37.9,0.951,-37.9,0.0,0.807,-37.9,29.0
BSX,stock,1.61,-58.9,1.631,-40.4,0.0,1.361,-42.9,26.4
EW,stock,1.017,-53.0,0.977,-53.8,0.0,1.171,-44.4,39.1
MDT,stock,1.223,-44.9,0.575,-47.7,0.0,0.831,-37.2,33.6
ABT,stock,1.001,-37.4,1.074,-20.7,0.0,0.99,-17.4,34.6
DXCM,stock,4.129,-66.0,0.574,-77.6,0.0,0.443,-72.7,38.9
PODD,stock,1.757,-59.9,0.373,-59.9,0.0,1.699,-35.4,29.3
GEHC,stock,0.736,-35.4,0.965,-38.9,0.0,0.838,-43.5,42.9
